Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9939    0.007    0.000    0.020    0.000 random.py:256(choice)
     1644    0.006    0.000    0.017    0.000 Player.py:657(<listcomp>)
     2596    0.006    0.000    0.008    0.000 nn_input_logic.py:70(<listcomp>)
    31342    0.006    0.000    0.008    0.000 {built-in method builtins.sum}
    16506    0.006    0.000    0.008    0.000 copyreg.py:87(__newobj__)
     2596    0.006    0.000    0.007    0.000 nn_input_logic.py:68(<listcomp>)
 1485/763    0.006    0.000    0.099    0.000 Abilities_Effects.py:264(activate_ability)
    35185    0.006    0.000    0.006    0.000 {method 'getrandbits' of '_random.Random' objects}
      236    0.006    0.000    0.034    0.000 concat.py:268(_get_empty_dtype_and_na)
      715    0.006    0.000    0.225    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    22630    0.005    0.000    0.006    0.000 Card_types.py:469(check_lethal_damage)
    67945    0.005    0.000    0.005    0.000 {method 'keys' of 'dict' objects}
     9938    0.005    0.000    0.026    0.000 Player.py:749(rand_decisions)
     1487    0.005    0.000    0.038    0.000 missing.py:402(array_equivalent)
     1231    0.005    0.000    0.017    0.000 blocks.py:343(ftype)
     1644    0.005    0.000    0.019    0.000 Player.py:682(pay_mana)
      497    0.005    0.000    0.023    0.000 algorithms.py:1565(take_nd)
     4257    0.005    0.000    0.013    0.000 managers.py:163(shape)
     5588    0.005    0.000    0.009    0.000 numpy_.py:417(to_numpy)
     5830    0.005    0.000    0.026    0.000 series.py:515(array)
     3320    0.005    0.000    0.015    0.000 Zones.py:142(enter_zone)
     5588    0.005    0.000    0.011    0.000 managers.py:1568(get_values)
  495/111    0.005    0.000    0.013    0.000 sre_parse.py:469(_parse)
     5830    0.005    0.000    0.020    0.000 blocks.py:219(array_values)
        3    0.005    0.002    0.011    0.004 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     5830    0.005    0.000    0.005    0.000 numpy_.py:42(__init__)
      236    0.005    0.000    0.062    0.000 base.py:2436(difference)
      100    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
      567    0.005    0.000    0.005    0.000 {method 'unique' of 'pandas._libs.hashtable.Float64HashTable' objects}
     1863    0.005    0.000    0.061    0.000 base.py:4046(equals)
        2    0.005    0.002    0.005    0.002 {built-in method torch._C._jit_get_operation}
     1313    0.005    0.000    0.131    0.000 frame.py:414(__init__)
     6971    0.004    0.000    0.007    0.000 managers.py:1548(dtype)
        3    0.004    0.001    0.011    0.004 utils.py:66(parse_header)
   845/11    0.004    0.000    0.740    0.067 <frozen importlib._bootstrap>:978(_find_and_load)
       99    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      268    0.004    0.000    0.039    0.000 concat.py:292(__init__)
      834    0.004    0.000    0.127    0.000 <frozen importlib._bootstrap>:882(_find_spec)
 1644/487    0.004    0.000    0.092    0.000 Concepts.py:92(pay_costs)
     1557    0.004    0.000    0.004    0.000 {built-in method numpy.arange}
     1430    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
    13130    0.004    0.000    0.009    0.000 Player.py:658(<listcomp>)
     1313    0.004    0.000    0.072    0.000 managers.py:122(__init__)
       16    0.004    0.000    0.004    0.000 {built-in method io.open}
      823    0.004    0.000    0.016    0.000 missing.py:225(_isna_ndarraylike)
        1    0.004    0.004    0.004    0.004 {built-in method torch._C._jit_script_compile}
        1    0.004    0.004    0.004    0.004 {built-in method mkl._py_mkl_service.get_version}
      236    0.004    0.000    0.012    0.000 arraysetops.py:484(in1d)
    10788    0.004    0.000    0.005    0.000 Abilities_Effects.py:809(apply_to_card)
      220    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     6676    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1644    0.003    0.000    0.005    0.000 Player.py:659(<listcomp>)
     2985    0.003    0.000    0.009    0.000 Abilities_Effects.py:839(check_effect)
    22160    0.003    0.000    0.004    0.000 M20_cards.py:1499(<lambda>)
   1072/1    0.003    0.000  236.062  236.062 {built-in method builtins.exec}
     1898    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     6971    0.003    0.000    0.011    0.000 series.py:414(dtype)
     1652    0.003    0.000    0.003    0.000 nn_input_logic.py:91(<listcomp>)
     1652    0.003    0.000    0.003    0.000 nn_input_logic.py:85(<listcomp>)
